kx	ky	Q3(up)
0.156873	0.232896	0.192941
0.168078	0.239366	0.192109
0.179284	0.245835	0.191095
0.190489	0.252304	0.190092
0.201694	0.271713	0.187574
0.212899	0.278182	0.186805
0.224105	0.284651	0.186358
0.23531	0.291121	0.186212
0.246515	0.29759	0.186358
0.25772	0.304059	0.186805
0.268926	0.310529	0.187574
0.280131	0.316998	0.188652
0.291336	0.323467	0.189959
0.302541	0.329937	0.191336
0.112052	0.219958	0.192561
0.123258	0.226427	0.193411
0.134463	0.232897	0.193716
0.145668	0.239366	0.193412
0.156873	0.245835	0.192561
0.168078	0.252305	0.191335
0.179284	0.258774	0.189959
0.190489	0.265243	0.188652
0.201694	0.284651	0.185622
0.212899	0.29112	0.18482
0.224105	0.29759	0.18442
0.23531	0.304059	0.18442
0.246515	0.310528	0.18482
0.25772	0.316998	0.185622
0.268926	0.323467	0.186805
0.280131	0.329937	0.188292
0.291336	0.336406	0.18993
0.302541	0.342875	0.191493
0.112052	0.232896	0.192728
0.123258	0.239366	0.193411
0.134463	0.245835	0.193411
0.145668	0.252304	0.192728
0.156873	0.258774	0.191493
0.168078	0.265243	0.18993
0.179284	0.271712	0.188292
0.190489	0.278182	0.186805
0.201694	0.29759	0.183659
0.212899	0.304059	0.182944
0.224105	0.310529	0.182704
0.23531	0.316998	0.182944
0.246515	0.323467	0.183658
0.25772	0.329937	0.18482
0.268926	0.336406	0.186358
0.280131	0.342875	0.188131
0.291336	0.349345	0.18993
0.302541	0.355814	0.191493
0.112052	0.245835	0.192561
0.123258	0.252305	0.192942
0.134463	0.258774	0.192561
0.145668	0.265243	0.191493
0.156873	0.271713	0.18993
0.168078	0.278182	0.188131
0.179284	0.284651	0.186358
0.190489	0.291121	0.18482
0.201694	0.310528	0.181908
0.212899	0.316998	0.181376
0.224105	0.323467	0.181376
0.23531	0.329937	0.181908
0.246515	0.336406	0.182944
0.25772	0.342875	0.18442
0.268926	0.349345	0.186212
0.280131	0.355814	0.188131
0.291336	0.362283	0.189929
0.302541	0.368753	0.191336
0.112052	0.258774	0.19211
0.123258	0.265243	0.19211
0.134463	0.271712	0.191335
0.145668	0.278182	0.18993
0.156873	0.284651	0.188131
0.168078	0.29112	0.186212
0.179284	0.29759	0.18442
0.190489	0.304059	0.182944
0.201694	0.323467	0.180543
0.212899	0.329937	0.18026
0.224105	0.336406	0.180543
0.23531	0.342875	0.181376
0.246515	0.349345	0.182704
0.25772	0.355814	0.18442
0.268926	0.362283	0.186358
0.280131	0.368753	0.188292
0.291336	0.375222	0.189959
0.302541	0.381691	0.191095
0.112052	0.271713	0.191499
0.123258	0.278182	0.191095
0.134463	0.284651	0.189959
0.145668	0.291121	0.188292
0.156873	0.29759	0.186358
0.168078	0.304059	0.18442
0.179284	0.310529	0.182704
0.190489	0.316998	0.181377
0.201694	0.336406	0.179684
0.212899	0.342875	0.179684
0.224105	0.349345	0.180261
0.23531	0.355814	0.181376
0.246515	0.362283	0.182944
0.25772	0.368753	0.18482
0.268926	0.375222	0.186805
0.280131	0.381691	0.188652
0.291336	0.388161	0.190091
0.302541	0.39463	0.190884
0.112052	0.284651	0.190884
0.123258	0.291121	0.190091
0.134463	0.29759	0.188652
0.145668	0.304059	0.186805
0.156873	0.310529	0.18482
0.168078	0.316998	0.182944
0.179284	0.323467	0.181376
0.190489	0.329937	0.18026
0.201694	0.582241	0.179392
0.212899	0.58871	0.179683
0.224105	0.59518	0.180543
0.23531	0.601649	0.181908
0.246515	0.608118	0.183659
0.25772	0.614588	0.185622
0.268926	0.621057	0.187574
0.280131	0.627527	0.189252
0.291336	0.633996	0.190394
0.302541	0.640465	0.190801
0.112052	0.530486	0.190395
0.123258	0.536956	0.189252
0.134463	0.543425	0.187574
0.145668	0.549894	0.185622
0.156873	0.556364	0.183659
0.168078	0.562833	0.181908
0.179284	0.569302	0.180544
0.190489	0.575772	0.179684
0.201694	0.59518	0.179684
0.212899	0.601649	0.180261
0.224105	0.608118	0.181376
0.23531	0.614588	0.182944
0.246515	0.621057	0.18482
0.25772	0.627527	0.186805
0.268926	0.633996	0.188652
0.280131	0.640465	0.190091
0.291336	0.646934	0.190884
0.302541	0.653404	0.190884
0.112052	0.543425	0.190092
0.123258	0.549894	0.188652
0.134463	0.556364	0.186805
0.145668	0.562833	0.18482
0.156873	0.569302	0.182944
0.168078	0.575772	0.181376
0.179284	0.582241	0.18026
0.190489	0.58871	0.179683
0.201694	0.608118	0.180544
0.212899	0.614588	0.181376
0.224105	0.621057	0.182704
0.23531	0.627527	0.18442
0.246515	0.633996	0.186358
0.25772	0.640465	0.188292
0.268926	0.646934	0.189959
0.280131	0.653404	0.191095
0.291336	0.659873	0.191499
0.302541	0.666343	0.191095
0.112052	0.556364	0.189959
0.123258	0.562833	0.188292
0.134463	0.569302	0.186358
0.145668	0.575772	0.18442
0.156873	0.582241	0.182704
0.168078	0.58871	0.181376
0.179284	0.59518	0.180543
0.190489	0.601649	0.180261
0.201694	0.621057	0.181908
0.212899	0.627527	0.182944
0.224105	0.633996	0.18442
0.23531	0.640465	0.186212
0.246515	0.646935	0.188131
0.25772	0.653404	0.18993
0.268926	0.659873	0.191335
0.280131	0.666343	0.19211
0.291336	0.672812	0.19211
0.302541	0.679281	0.191336
0.112052	0.569303	0.189929
0.123258	0.575772	0.188131
0.134463	0.582241	0.186212
0.145668	0.58871	0.18442
0.156873	0.59518	0.182944
0.168078	0.601649	0.181908
0.179284	0.608119	0.181376
0.190489	0.614588	0.181376
0.201694	0.633996	0.183658
0.212899	0.640465	0.18482
0.224105	0.646934	0.186358
0.23531	0.653404	0.188131
0.246515	0.659873	0.18993
0.25772	0.666343	0.191493
0.268926	0.672812	0.192561
0.280131	0.679281	0.192942
0.291336	0.68575	0.192561
0.302541	0.69222	0.191493
0.112052	0.582241	0.18993
0.123258	0.58871	0.188131
0.134463	0.59518	0.186357
0.145668	0.601649	0.18482
0.156873	0.608118	0.183659
0.168078	0.614588	0.182944
0.179284	0.621057	0.182704
0.190489	0.627526	0.182944
0.201694	0.646935	0.185622
0.212899	0.653404	0.186805
0.224105	0.659873	0.188292
0.23531	0.666343	0.18993
0.246515	0.672812	0.191493
0.25772	0.679281	0.192728
