#K-Path(1/A)   Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 306 104
# Band-Index:    1
   1.73849    -14.158082    -14.162953
   1.74383    -14.156121    -14.161206
   1.74917    -14.154084    -14.159379
   1.75451    -14.151973    -14.157475
   1.75986    -14.149789    -14.155493
   1.76520    -14.147536    -14.153436
   1.77054    -14.145214    -14.151306
   1.77588    -14.142829    -14.149104
   1.78123    -14.140382    -14.146834
   1.78657    -14.137877    -14.144497
   1.79191    -14.135320    -14.142097
   1.79725    -14.132715    -14.139638
   1.80260    -14.130070    -14.137122
   1.80794    -14.127390    -14.134556
   1.81328    -14.124686    -14.131944
   1.81862    -14.121968    -14.129293
   1.82396    -14.119249    -14.126612
   1.82931    -14.116545    -14.123909
   1.83465    -14.113877    -14.121195
   1.83999    -14.111267    -14.118485
   1.84533    -14.108747    -14.115795
   1.85068    -14.106351    -14.113146
   1.85602    -14.104125    -14.110563
   1.86136    -14.102119    -14.108079
   1.86670    -14.100391    -14.105729
   1.87205    -14.099003    -14.103561
   1.87739    -14.098014    -14.101627
   1.88273    -14.097473    -14.099986
   1.88807    -14.097409    -14.098700
   1.89342    -14.097826    -14.097826
   1.89342    -14.097826    -14.097826
   1.90844    -14.102192    -14.106882
   1.92346    -14.115513    -14.123956
   1.93849    -14.136364    -14.145376
   1.95351    -14.160614    -14.169449
   1.96853    -14.186998    -14.195373
   1.98356    -14.214872    -14.222679
   1.99858    -14.243840    -14.251043
   2.01360    -14.273622    -14.280218
   2.02863    -14.303993    -14.310002
   2.04365    -14.334770    -14.340218
   2.05867    -14.365808    -14.370727
   2.07370    -14.396971    -14.401396
   2.08872    -14.428144    -14.432110
   2.10374    -14.459223    -14.462765
   2.11877    -14.490118    -14.493271
   2.13379    -14.520749    -14.523545
   2.14881    -14.551043    -14.553513
   2.16384    -14.580935    -14.583109
   2.17886    -14.610364    -14.612270
   2.19388    -14.639274    -14.640938
   2.20891    -14.667616    -14.669061
   2.22393    -14.695339    -14.696590
   2.23895    -14.722403    -14.723479
   2.25398    -14.748769    -14.749690
   2.26900    -14.774402    -14.775186
   2.28402    -14.799262    -14.799925
   2.29905    -14.823321    -14.823878
   2.31407    -14.846545    -14.847009
   2.32909    -14.868911    -14.869295
   2.34412    -14.890393    -14.890707
   2.35914    -14.910963    -14.911218
   2.37416    -14.930602    -14.930806
   2.38919    -14.949285    -14.949447
   2.40421    -14.966994    -14.967121
   2.41923    -14.983713    -14.983811
   2.43426    -14.999426    -14.999500
   2.44928    -15.014118    -15.014173
   2.46430    -15.027781    -15.027821
   2.47933    -15.040398    -15.040426
   2.49435    -15.051958    -15.051977
   2.50937    -15.062447    -15.062459
   2.52440    -15.071856    -15.071864
   2.53942    -15.080177    -15.080182
   2.55444    -15.087402    -15.087404
   2.56947    -15.093525    -15.093526
   2.58449    -15.098540    -15.098540
   2.59951    -15.102443    -15.102444
   2.61454    -15.105233    -15.105233
   2.62956    -15.106905    -15.106905
   2.64458    -15.107459    -15.107459
   2.64458    -15.107459    -15.107459
   2.64992    -15.107390    -15.107390
   2.65527    -15.107178    -15.107178
   2.66061    -15.106823    -15.106823
   2.66595    -15.106324    -15.106324
   2.67129    -15.105684    -15.105684
   2.67664    -15.104902    -15.104902
   2.68198    -15.103976    -15.103976
   2.68732    -15.102908    -15.102908
   2.69266    -15.101699    -15.101699
   2.69801    -15.100347    -15.100347
   2.70335    -15.098852    -15.098852
   2.70869    -15.097217    -15.097217
   2.71403    -15.095439    -15.095439
   2.71938    -15.093520    -15.093520
   2.72472    -15.091459    -15.091459
   2.73006    -15.089257    -15.089257
   2.73540    -15.086914    -15.086914
   2.74075    -15.084430    -15.084430
   2.74609    -15.081806    -15.081806
   2.75143    -15.079041    -15.079041
   2.75677    -15.076137    -15.076137
   2.76212    -15.073093    -15.073093
   2.76746    -15.069910    -15.069910
   2.77280    -15.066587    -15.066587
   2.77814    -15.063126    -15.063126
   2.78349    -15.059527    -15.059527
   2.78883    -15.055789    -15.055789
   2.79417    -15.051914    -15.051914
   2.79951    -15.047903    -15.047903
   2.80486    -15.043754    -15.043754
   2.81020    -15.039470    -15.039470
   2.81554    -15.035051    -15.035051
   2.82088    -15.030495    -15.030495
   2.82623    -15.025805    -15.025805
   2.83157    -15.020982    -15.020982
   2.83691    -15.016024    -15.016024
   2.84225    -15.010933    -15.010933
   2.84760    -15.005712    -15.005712
   2.85294    -15.000361    -15.000361
   2.85828    -14.994877    -14.994877
   2.86362    -14.989262    -14.989262
   2.86897    -14.983517    -14.983517
   2.87431    -14.977643    -14.977643
   2.87965    -14.971639    -14.971639
   2.88499    -14.965508    -14.965508
   2.89034    -14.959248    -14.959248
   2.89568    -14.952862    -14.952862
   2.90102    -14.946349    -14.946349
   2.90636    -14.939711    -14.939711
   2.91171    -14.932954    -14.932954
 
# Band-Index:    2
   2.91171    -14.932942    -14.932942
   2.90636    -14.926061    -14.926061
   2.90102    -14.919051    -14.919051
   2.89568    -14.911918    -14.911918
   2.89034    -14.904664    -14.904664
   2.88499    -14.897289    -14.897289
   2.87965    -14.889796    -14.889796
   2.87431    -14.882183    -14.882183
   2.86897    -14.874452    -14.874452
   2.86362    -14.866605    -14.866605
   2.85828    -14.858642    -14.858642
   2.85294    -14.850565    -14.850565
   2.84760    -14.842375    -14.842375
   2.84225    -14.834072    -14.834072
   2.83691    -14.825658    -14.825658
   2.83157    -14.817133    -14.817133
   2.82623    -14.808499    -14.808499
   2.82088    -14.799758    -14.799758
   2.81554    -14.790909    -14.790909
   2.81020    -14.781955    -14.781955
   2.80486    -14.772896    -14.772896
   2.79951    -14.763735    -14.763735
   2.79417    -14.754471    -14.754471
   2.78883    -14.745108    -14.745108
   2.78349    -14.735644    -14.735644
   2.77814    -14.726086    -14.726086
   2.77280    -14.716433    -14.716433
   2.76746    -14.706685    -14.706685
   2.76212    -14.696845    -14.696845
   2.75677    -14.686914    -14.686914
   2.75143    -14.676893    -14.676893
   2.74609    -14.666786    -14.666786
   2.74075    -14.656593    -14.656593
   2.73540    -14.646316    -14.646316
   2.73006    -14.635960    -14.635960
   2.72472    -14.625527    -14.625527
   2.71938    -14.615018    -14.615018
   2.71403    -14.604437    -14.604437
   2.70869    -14.593789    -14.593789
   2.70335    -14.583077    -14.583077
   2.69801    -14.572307    -14.572307
   2.69266    -14.561488    -14.561488
   2.68732    -14.550629    -14.550629
   2.68198    -14.539747    -14.539747
   2.67664    -14.528863    -14.528863
   2.67129    -14.518016    -14.518016
   2.66595    -14.507280    -14.507280
   2.66061    -14.496805    -14.496805
   2.65527    -14.486964    -14.486964
   2.64992    -14.478811    -14.478811
   2.64458    -14.475204    -14.475204
   2.64458    -14.475204    -14.475204
   2.62956    -14.478412    -14.478412
   2.61454    -14.485371    -14.485370
   2.59951    -14.493222    -14.493218
   2.58449    -14.500901    -14.500891
   2.56947    -14.508028    -14.508008
   2.55444    -14.514445    -14.514410
   2.53942    -14.520072    -14.520017
   2.52440    -14.524866    -14.524784
   2.50937    -14.528800    -14.528684
   2.49435    -14.531855    -14.531697
   2.47933    -14.534020    -14.533810
   2.46430    -14.535288    -14.535018
   2.44928    -14.535654    -14.535311
   2.43426    -14.535113    -14.534688
   2.41923    -14.533667    -14.533147
   2.40421    -14.531316    -14.530689
   2.38919    -14.528064    -14.527318
   2.37416    -14.523914    -14.523034
   2.35914    -14.518875    -14.517847
   2.34412    -14.512952    -14.511761
   2.32909    -14.506157    -14.504787
   2.31407    -14.498498    -14.496934
