Δ0	Q3(ec)
-1.	-0.205616
-0.9	-0.199838
-0.8	-0.19292
-0.7	-0.184564
-0.6	-0.174372
-0.5	-0.161799
-0.4	-0.14606
-0.3	-0.12594
-0.2	-0.0992735
-0.1	-0.0612224
0.	0
0.1	0.0612224
0.2	0.0992735
0.3	0.12594
0.4	0.14606
0.5	0.161799
0.6	0.174372
0.7	0.184564
0.8	0.19292
0.9	0.199838
1.	0.205616
