charge density	Z(up)	Z(down)
9.80793	-3.15176	-3.15176
8.68159	-3.09115	-3.09115
7.73073	-3.03054	-3.03054
6.97767	-2.96993	-2.96993
6.4267	-2.90932	-2.90932
6.06565	-2.8487	-2.8487
5.86643	-2.78809	-2.78809
5.78681	-2.72748	-2.72748
5.77591	-2.66687	-2.66687
5.78412	-2.60626	-2.60626
5.77576	-2.54565	-2.54565
5.73699	-2.48504	-2.48504
5.66572	-2.42443	-2.42443
5.56522	-2.36382	-2.36382
5.44348	-2.30321	-2.30321
5.3119	-2.2426	-2.2426
5.1834	-2.18199	-2.18199
5.07028	-2.12138	-2.12138
4.98222	-2.06077	-2.06077
4.92469	-2.00015	-2.00015
4.89808	-1.93954	-1.93954
4.8976	-1.87893	-1.87893
4.91391	-1.81832	-1.81832
4.93443	-1.75771	-1.75771
4.94493	-1.6971	-1.6971
4.9314	-1.63649	-1.63649
4.88168	-1.57588	-1.57588
4.78681	-1.51527	-1.51527
4.64184	-1.45466	-1.45466
4.44616	-1.39405	-1.39405
4.20326	-1.33344	-1.33344
3.92013	-1.27283	-1.27283
3.60641	-1.21221	-1.21221
3.27337	-1.1516	-1.1516
2.93289	-1.09099	-1.09099
2.59652	-1.03038	-1.03038
2.27458	-0.969772	-0.969772
1.9753	-0.909161	-0.909161
1.70413	-0.84855	-0.84855
1.46327	-0.78794	-0.78794
1.25207	-0.727329	-0.727329
1.06887	-0.666718	-0.666718
0.911672	-0.606107	-0.606107
0.778219	-0.545497	-0.545497
0.666161	-0.484886	-0.484886
0.573167	-0.424275	-0.424275
0.497053	-0.363664	-0.363664
0.435879	-0.303054	-0.303054
0.388009	-0.242443	-0.242443
0.352138	-0.181832	-0.181832
0.327286	-0.121221	-0.121221
0.312788	-0.0606107	-0.0606107
0.308265	0	0
0.313613	0.0606107	0.0606107
0.328997	0.121221	0.121221
0.354852	0.181832	0.181832
0.391906	0.242443	0.242443
0.441199	0.303054	0.303054
0.504101	0.363664	0.363664
0.582317	0.424275	0.424275
0.677861	0.484886	0.484886
0.792997	0.545497	0.545497
0.930136	0.606107	0.606107
1.09171	0.666718	0.666718
1.28003	0.727329	0.727329
1.49716	0.78794	0.78794
1.7448	0.84855	0.84855
2.0236	0.909161	0.909161
2.33137	0.969772	0.969772
2.66262	1.03038	1.03038
3.00899	1.09099	1.09099
3.35994	1.1516	1.1516
3.70355	1.21221	1.21221
4.02743	1.27283	1.27283
4.31975	1.33344	1.33344
4.57027	1.39405	1.39405
4.77148	1.45466	1.45466
4.91949	1.51527	1.51527
5.01473	1.57588	1.57588
5.06213	1.63649	1.63649
5.07083	1.6971	1.6971
5.05325	1.75771	1.75771
5.02368	1.81832	1.81832
4.99654	1.87893	1.87893
4.98446	1.93954	1.93954
4.99661	2.00015	2.00015
5.03739	2.06077	2.06077
5.10579	2.12138	2.12138
5.19548	2.18199	2.18199
5.29564	2.2426	2.2426
5.39251	2.30321	2.30321
5.47135	2.36382	2.36382
5.51862	2.42443	2.42443
5.52411	2.48504	2.48504
5.48263	2.54565	2.54565
5.39525	2.60626	2.60626
5.272	2.66687	2.66687
5.13654	2.72748	2.72748
5.0247	2.78809	2.78809
4.97893	2.8487	2.8487
5.03978	2.90932	2.90932
5.23631	2.96993	2.96993
5.57782	3.03054	3.03054
6.04975	3.09115	3.09115
6.61538	3.15176	3.15176
7.22282	3.21237	3.21237
7.81561	3.27298	3.27298
8.3441	3.33359	3.33359
8.77269	3.3942	3.3942
9.08108	3.45481	3.45481
9.26092	3.51542	3.51542
9.31044	3.57603	3.57603
9.22958	3.63664	3.63664
9.01852	3.69726	3.69726
8.68011	3.75787	3.75787
8.22497	3.81848	3.81848
7.67674	3.87909	3.87909
7.07456	3.9397	3.9397
6.47052	4.00031	4.00031
5.92116	4.06092	4.06092
5.47584	4.12153	4.12153
5.16676	4.18214	4.18214
5.00302	4.24275	4.24275
4.97029	4.30336	4.30336
5.03607	4.36397	4.36397
5.15849	4.42458	4.42458
5.29589	4.48519	4.48519
5.41469	4.54581	4.54581
5.4943	4.60642	4.60642
5.52702	4.66703	4.66703
5.51312	4.72764	4.72764
5.45888	4.78825	4.78825
5.37535	4.84886	4.84886
5.27649	4.90947	4.90947
5.17706	4.97008	4.97008
5.09043	5.03069	5.03069
5.02671	5.0913	5.0913
4.99129	5.15191	5.15191
4.98418	5.21252	5.21252
4.99999	5.27313	5.27313
5.02881	5.33375	5.33375
5.0575	5.39436	5.39436
5.07152	5.45497	5.45497
5.05677	5.51558	5.51558
5.0013	5.57619	5.57619
4.89668	5.6368	5.6368
4.73876	5.69741	5.69741
4.52792	5.75802	5.75802
4.26874	5.81863	5.81863
3.96928	5.87924	5.87924
3.64012	5.93985	5.93985
3.29324	6.00046	6.00046
2.94099	6.06107	6.06107
2.59508	6.12168	6.12168
2.26566	6.1823	6.1823
1.96059	6.24291	6.24291
1.68474	6.30352	6.30352
1.43966	6.36413	6.36413
1.22429	6.42474	6.42474
1.03681	6.48535	6.48535
0.874983	6.54596	6.54596
0.736361	6.60657	6.60657
0.618351	6.66718	6.66718
0.518374	6.72779	6.72779
0.433978	6.7884	6.7884
0.362924	6.84901	6.84901
0.303225	6.90962	6.90962
0.25316	6.97024	6.97024
0.211248	7.03085	7.03085
0.176217	7.09146	7.09146
0.146978	7.15207	7.15207
0.122594	7.21268	7.21268
0.102266	7.27329	7.27329
0.0853149	7.3339	7.3339
0.0711761	7.39451	7.39451
0.0593801	7.45512	7.45512
0.0495392	7.51573	7.51573
0.0413324	7.57634	7.57634
0.0344909	7.63695	7.63695
0.0287888	7.69756	7.69756
0.024035	7.75817	7.75817
0.0200693	7.81879	7.81879
0.0167583	7.8794	7.8794
0.0139923	7.94001	7.94001
0.0116816	8.00062	8.00062
0.00975198	8.06123	8.06123
0.00814193	8.12184	8.12184
0.00679925	8.18245	8.18245
0.0056795	8.24306	8.24306
0.00474503	8.30367	8.30367
0.00396432	8.36428	8.36428
0.00331147	8.42489	8.42489
0.00276544	8.4855	8.4855
0.00230906	8.54611	8.54611
0.00192812	8.60673	8.60673
0.00161052	8.66734	8.66734
0.00134583	8.72795	8.72795
0.00112505	8.78856	8.78856
0.000940591	8.84917	8.84917
0.000786205	8.90978	8.90978
0.000656892	8.97039	8.97039
0.000548662	9.031	9.031
0.000458264	9.09161	9.09161
0.000382936	9.15222	9.15222
0.00032024	9.21283	9.21283
0.000268014	9.27344	9.27344
0.000224386	9.33405	9.33405
0.000187811	9.39467	9.39467
0.00015708	9.45528	9.45528
0.00013127	9.51589	9.51589
0.000109667	9.5765	9.5765
0.0000916724	9.63711	9.63711
0.0000767378	9.69772	9.69772
0.0000643426	9.75833	9.75833
0.0000540072	9.81894	9.81894
0.0000453233	9.87955	9.87955
0.0000379782	9.94016	9.94016
0.000031756	10.0008	10.0008
0.0000265139	10.0614	10.0614
0.0000221449	10.122	10.122
0.0000185439	10.1826	10.1826
0.0000155898	10.2432	10.2432
0.0000131503	10.3038	10.3038
0.0000110994	10.3644	10.3644
0	10.425	10.425
0	10.4857	10.4857
0	10.5463	10.5463
0	10.6069	10.6069
0	10.6675	10.6675
0	10.7281	10.7281
0	10.7887	10.7887
0	10.8493	10.8493
0	10.9099	10.9099
0	10.9705	10.9705
0	11.0312	11.0312
0	11.0918	11.0918
0	11.1524	11.1524
0	11.213	11.213
0	11.2736	11.2736
0	11.3342	11.3342
0	11.3948	11.3948
0	11.4554	11.4554
0	11.516	11.516
0	11.5767	11.5767
0	11.6373	11.6373
0	11.6979	11.6979
0	11.7585	11.7585
0	11.8191	11.8191
0	11.8797	11.8797
0	11.9403	11.9403
0	12.0009	12.0009
0	12.0615	12.0615
0	12.1221	12.1221
0	12.1828	12.1828
0	12.2434	12.2434
0	12.304	12.304
0	12.3646	12.3646
0	12.4252	12.4252
0	12.4858	12.4858
0	12.5464	12.5464
0	12.607	12.607
0	12.6676	12.6676
0	12.7283	12.7283
0	12.7889	12.7889
0	12.8495	12.8495
0	12.9101	12.9101
0	12.9707	12.9707
0	13.0313	13.0313
0	13.0919	13.0919
0	13.1525	13.1525
0	13.2131	13.2131
0	13.2738	13.2738
0	13.3344	13.3344
0	13.395	13.395
0	13.4556	13.4556
0	13.5162	13.5162
0	13.5768	13.5768
0	13.6374	13.6374
0	13.698	13.698
0	13.7586	13.7586
0	13.8192	13.8192
0	13.8799	13.8799
0	13.9405	13.9405
0	14.0011	14.0011
0	14.0617	14.0617
0	14.1223	14.1223
0	14.1829	14.1829
0	14.2435	14.2435
0	14.3041	14.3041
0	14.3647	14.3647
0	14.4254	14.4254
0	14.486	14.486
0	14.5466	14.5466
0	14.6072	14.6072
0	14.6678	14.6678
0	14.7284	14.7284
0	14.789	14.789
0	14.8496	14.8496
0	14.9102	14.9102
0	14.9709	14.9709
0	15.0315	15.0315
0	15.0921	15.0921
