#K-Path(1/A)   Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 204 192
# Band-Index:    1
   0.00000    -61.896397    -61.896397
 
# Band-Index:    3
   0.00000    -60.338465    -60.338465
   0.00948    -60.338465    -60.338465
   0.01895    -60.338465    -60.338465
   0.02843    -60.338465    -60.338465
   0.03791    -60.338465    -60.338465
   0.04738    -60.338465    -60.338465
   0.05686    -60.338466    -60.338466
   0.06634    -60.338466    -60.338466
   0.07582    -60.338466    -60.338466
   0.08529    -60.338466    -60.338466
   0.09477    -60.338465    -60.338465
   0.10425    -60.338465    -60.338465
   0.11372    -60.338465    -60.338465
   0.12320    -60.338465    -60.338465
   0.13268    -60.338465    -60.338465
   0.14215    -60.338465    -60.338465
   0.15163    -60.338465    -60.338465
   0.16111    -60.338465    -60.338465
   0.17058    -60.338465    -60.338465
   0.18006    -60.338465    -60.338465
   0.18954    -60.338465    -60.338465
   0.19901    -60.338465    -60.338465
   0.20849    -60.338465    -60.338465
   0.21797    -60.338465    -60.338465
   0.22745    -60.338465    -60.338465
   0.23692    -60.338465    -60.338465
   0.24640    -60.338465    -60.338465
   0.25588    -60.338465    -60.338465
   0.26535    -60.338465    -60.338465
   0.27483    -60.338465    -60.338465
   0.28431    -60.338465    -60.338465
   0.29378    -60.338465    -60.338465
   0.30326    -60.338465    -60.338465
   0.31274    -60.338465    -60.338465
   0.32221    -60.338465    -60.338465
   0.33169    -60.338465    -60.338465
   0.34117    -60.338465    -60.338465
   0.35065    -60.338465    -60.338465
   0.36012    -60.338465    -60.338465
   0.36960    -60.338466    -60.338466
   0.37908    -60.338466    -60.338466
   0.38855    -60.338466    -60.338466
   0.39803    -60.338466    -60.338466
   0.40751    -60.338465    -60.338465
   0.41698    -60.338465    -60.338465
   0.42646    -60.338465    -60.338465
   0.43594    -60.338465    -60.338465
   0.44541    -60.338465    -60.338465
   0.45489    -60.338465    -60.338465
   0.46437    -60.338465    -60.338465
   0.47385    -60.338465    -60.338465
   0.47385    -60.338465    -60.338465
   0.47932    -60.338465    -60.338465
   0.48479    -60.338465    -60.338465
   0.49026    -60.338465    -60.338465
   0.49573    -60.338465    -60.338465
   0.50120    -60.338465    -60.338465
   0.50667    -60.338465    -60.338465
   0.51215    -60.338465    -60.338465
   0.51762    -60.338465    -60.338465
   0.52309    -60.338465    -60.338465
   0.52856    -60.338465    -60.338465
   0.53403    -60.338466    -60.338466
   0.53950    -60.338466    -60.338466
   0.54497    -60.338466    -60.338466
   0.55045    -60.338466    -60.338466
   0.55592    -60.338466    -60.338466
   0.56139    -60.338466    -60.338466
   0.56686    -60.338466    -60.338466
   0.57233    -60.338466    -60.338466
   0.57780    -60.338465    -60.338465
   0.58327    -60.338465    -60.338465
   0.58875    -60.338465    -60.338465
   0.59422    -60.338466    -60.338466
   0.59969    -60.338466    -60.338466
   0.60516    -60.338466    -60.338466
   0.61063    -60.338466    -60.338466
   0.61610    -60.338466    -60.338466
   0.62158    -60.338466    -60.338466
   0.62705    -60.338466    -60.338466
   0.63252    -60.338466    -60.338466
   0.63799    -60.338466    -60.338466
   0.64346    -60.338466    -60.338466
   0.64893    -60.338466    -60.338466
   0.65440    -60.338466    -60.338466
   0.65988    -60.338466    -60.338466
   0.66535    -60.338466    -60.338466
   0.67082    -60.338466    -60.338466
   0.67629    -60.338466    -60.338466
   0.68176    -60.338466    -60.338466
   0.68723    -60.338466    -60.338466
   0.69270    -60.338466    -60.338466
   0.69818    -60.338466    -60.338466
   0.70365    -60.338466    -60.338466
   0.70912    -60.338466    -60.338466
   0.71459    -60.338466    -60.338466
   0.72006    -60.338466    -60.338466
   0.72553    -60.338466    -60.338466
   0.73101    -60.338466    -60.338466
   0.73648    -60.338466    -60.338466
   0.74195    -60.338466    -60.338466
   0.74742    -60.338466    -60.338466
   0.74742    -60.338466    -60.338466
   0.75690    -60.338466    -60.338466
   0.76637    -60.338466    -60.338466
   0.77585    -60.338466    -60.338466
   0.78533    -60.338466    -60.338466
   0.79480    -60.338466    -60.338466
   0.80428    -60.338466    -60.338466
   0.81376    -60.338466    -60.338466
   0.82323    -60.338466    -60.338466
   0.83271    -60.338466    -60.338466
   0.84219    -60.338465    -60.338465
   0.85167    -60.338466    -60.338466
   0.86114    -60.338466    -60.338466
   0.87062    -60.338466    -60.338466
