kx	ky	Q3(up)
-0.0159624	0.0552953	-0.0223383
-0.00798121	0.0599033	-0.0265645
0.	0.0737271	-0.041159
0.00798121	0.0783351	-0.0452935
0.0159624	0.082943	-0.0496018
0.0239436	0.087551	-0.0535901
0.0319248	0.0921589	-0.0567616
0.039906	0.0967668	-0.0588474
0.0478872	0.101375	-0.0598396
0.0558684	0.105983	-0.059841
0.0638496	0.110591	-0.0588523
0.0718308	0.115199	-0.0567684
0.0798119	0.119807	-0.0535985
-0.0798119	0.0276477	-0.049611
-0.0718308	0.0322556	-0.0453033
-0.0638496	0.0368636	-0.0411682
-0.0558684	0.0414715	-0.0374255
-0.0478872	0.0460794	-0.0341411
-0.039906	0.0506874	-0.03167
-0.0319248	0.0552953	-0.0307168
-0.0239436	0.0599033	-0.0316679
-0.0159624	0.0645112	-0.0341352
-0.00798121	0.0691192	-0.0374188
0.	0.082943	-0.0474398
0.00798121	0.087551	-0.049948
0.0159624	0.0921589	-0.0526204
0.0239436	0.0967668	-0.0550267
0.0319248	0.101375	-0.0567651
0.039906	0.105983	-0.0577019
0.0478872	0.110591	-0.0579758
0.0558684	0.115199	-0.0577052
0.0638496	0.119807	-0.0567726
0.0718308	0.124415	-0.0550346
0.0798119	0.129022	-0.0526289
-0.0798119	0.0368636	-0.0499568
-0.0718308	0.0414715	-0.0474493
-0.0638496	0.0460794	-0.0453055
-0.0558684	0.0506874	-0.0434364
-0.0478872	0.0552953	-0.0417967
-0.039906	0.0599033	-0.0407357
-0.0319248	0.0645112	-0.0407338
-0.0239436	0.0691192	-0.0417927
-0.0159624	0.0737271	-0.0434306
-0.00798121	0.0783351	-0.0452972
0.	0.0921589	-0.0505219
0.00798121	0.0967669	-0.0514705
0.0159624	0.101375	-0.052622
0.0239436	0.105983	-0.0535958
0.0319248	0.110591	-0.054111
0.039906	0.115199	-0.0542424
0.0478872	0.119807	-0.0542437
0.0558684	0.124415	-0.054116
0.0638496	0.129022	-0.0536041
0.0718308	0.13363	-0.0526308
0.0798119	0.138238	-0.0514799
-0.0798119	0.0460794	-0.0505316
-0.0718308	0.0506874	-0.0499592
-0.0638496	0.0552953	-0.0496145
-0.0558684	0.0599033	-0.049217
-0.0478872	0.0645112	-0.0487337
-0.039906	0.0691192	-0.0484971
-0.0319248	0.0737271	-0.0487308
-0.0239436	0.0783351	-0.0492108
-0.0159624	0.082943	-0.0496078
-0.00798121	0.0875509	-0.0499493
0.	-0.0921589	-0.0505218
0.00798121	-0.0875509	-0.0499493
0.0159624	-0.082943	-0.0496078
0.0239436	-0.0783351	-0.0492108
0.0319248	-0.0737271	-0.0487308
0.039906	-0.0691192	-0.0484971
0.0478872	-0.0645112	-0.0487337
0.0558684	-0.0599033	-0.049217
0.0638496	-0.0552953	-0.0496145
0.0718308	-0.0506874	-0.0499592
0.0798119	-0.0460794	-0.0505315
-0.0798119	-0.138238	-0.0514797
-0.0718308	-0.13363	-0.0526307
-0.0638496	-0.129022	-0.0536041
-0.0558684	-0.124415	-0.0541161
-0.0478872	-0.119807	-0.0542437
-0.039906	-0.115199	-0.0542424
-0.0319248	-0.110591	-0.054111
-0.0239436	-0.105983	-0.0535958
-0.0159624	-0.101375	-0.0526216
-0.00798121	-0.0967669	-0.0514701
0.	-0.082943	-0.0474398
0.00798121	-0.0783351	-0.0452971
0.0159624	-0.0737271	-0.0434307
0.0239436	-0.0691192	-0.0417927
0.0319248	-0.0645112	-0.0407338
0.039906	-0.0599033	-0.0407357
0.0478872	-0.0552953	-0.0417967
0.0558684	-0.0506874	-0.0434364
0.0638496	-0.0460794	-0.0453055
0.0718308	-0.0414715	-0.0474494
0.0798119	-0.0368636	-0.0499568
-0.0798119	-0.129022	-0.0526289
-0.0718308	-0.124415	-0.0550347
-0.0638496	-0.119807	-0.0567725
-0.0558684	-0.115199	-0.0577055
-0.0478872	-0.110591	-0.0579758
-0.039906	-0.105983	-0.057702
-0.0319248	-0.101375	-0.0567651
-0.0239436	-0.0967668	-0.0550267
-0.0159624	-0.0921589	-0.0526204
-0.00798121	-0.087551	-0.0499479
0.	-0.0737271	-0.0411588
0.00798121	-0.0691192	-0.0374188
0.0159624	-0.0645112	-0.0341352
0.0239436	-0.0599033	-0.0316678
0.0319248	-0.0552953	-0.0307168
0.039906	-0.0506874	-0.03167
0.0478872	-0.0460794	-0.0341411
0.0558684	-0.0414715	-0.0374256
0.0638496	-0.0368636	-0.0411682
0.0718308	-0.0322556	-0.045303
0.0798119	-0.0276477	-0.0496109
-0.0798119	-0.119807	-0.0535986
-0.0718308	-0.115199	-0.0567683
-0.0638496	-0.110591	-0.0588519
-0.0558684	-0.105983	-0.0598408
-0.0478872	-0.101375	-0.0598401
-0.039906	-0.0967668	-0.0588476
-0.0319248	-0.0921589	-0.0567616
-0.0239436	-0.087551	-0.0535901
-0.0159624	-0.082943	-0.0496018
-0.00798121	-0.0783351	-0.0452934
0.	-0.0645112	-0.0317085
0.00798121	-0.0599033	-0.0265645
0.0159624	-0.0552953	-0.0223383
0.0239436	-0.0506874	-0.0198274
0.0319248	-0.0460794	-0.0198284
0.039906	-0.0414715	-0.0223422
0.0478872	-0.0368636	-0.0265707
0.0558684	-0.0322556	-0.0317167
0.0638496	-0.0276477	-0.037423
0.0718308	-0.0230397	-0.0434308
0.0798119	-0.0184318	-0.0492082
-0.0798119	-0.110591	-0.0541071
-0.0718308	-0.105983	-0.0576979
-0.0638496	-0.101375	-0.0598368
-0.0558684	-0.0967668	-0.0605398
-0.0478872	-0.0921589	-0.0598338
-0.039906	-0.087551	-0.0576923
-0.0319248	-0.082943	-0.0540994
-0.0239436	-0.0783351	-0.0491996
-0.0159624	-0.0737271	-0.0434218
-0.00798121	-0.0691192	-0.0374139
0.	-0.0552953	-0.019611
0.00798121	-0.0506874	-0.013651
0.0159624	-0.0460794	-0.00937383
0.0239436	-0.0414715	-0.00777857
0.0319248	-0.0368636	-0.00937598
0.039906	-0.0322556	-0.013655
0.0478872	-0.0276477	-0.0196175
0.0558684	-0.0230397	-0.0265672
0.0638496	-0.0184318	-0.0341338
0.0718308	-0.0138238	-0.0417862
