kx	ky	Q3(down)
0.0239436	0.087551	0.0535954
0.0319248	0.0921589	0.0567653
0.039906	0.0967668	0.0588492
0.0478872	0.101375	0.0598379
0.0558684	0.105983	0.0598358
0.0638496	0.110591	0.0588424
0.0718308	0.115199	0.0567557
0.0798119	0.119807	0.0535832
-0.0798119	0.0276477	0.0495928
-0.0718308	0.0322556	0.045282
-0.0638496	0.0368636	0.0411451
-0.0558684	0.0414715	0.037403
-0.0478872	0.0460794	0.034118
-0.039906	0.0506874	0.0316497
-0.0319248	0.0552953	0.0306998
-0.0239436	0.0599033	0.0316542
-0.0159624	0.0645112	0.0341264
-0.00798121	0.0691192	0.0374137
0.	0.082943	0.0474378
0.00798121	0.087551	0.0499475
0.0159624	0.0921589	0.0526206
0.0239436	0.0967668	0.0550255
0.0319248	0.101375	0.056762
0.039906	0.105983	0.0576945
0.0478872	0.110591	0.0579643
0.0558684	0.115199	0.0576899
0.0638496	0.119807	0.0567531
0.0718308	0.124415	0.0550138
0.0798119	0.129022	0.0526076
-0.0798119	0.0368636	0.0499331
-0.0718308	0.0414715	0.0474238
-0.0638496	0.0460794	0.0452798
-0.0558684	0.0506874	0.0434111
-0.0478872	0.0552953	0.041772
-0.039906	0.0599033	0.0407139
-0.0319248	0.0645112	0.0407162
-0.0239436	0.0691192	0.041779
-0.0159624	0.0737271	0.0434207
-0.00798121	0.0783351	0.0452927
0.	0.0921589	0.0505195
0.00798121	0.0967669	0.0514686
0.0159624	0.101375	0.0526187
0.0239436	0.105983	0.0535893
0.0319248	0.110591	0.0541005
0.039906	0.115199	0.0542277
0.0478872	0.119807	0.0542255
0.0558684	0.124415	0.0540937
0.0638496	0.129022	0.0535791
0.0718308	0.13363	0.0526055
0.0798119	0.138238	0.0514542
-0.0798119	0.0460794	0.0505055
-0.0718308	0.0506874	0.049932
-0.0638496	0.0552953	0.0495888
-0.0558684	0.0599033	0.0491907
-0.0478872	0.0645112	0.0487104
-0.039906	0.0691192	0.0484775
-0.0319248	0.0737271	0.0487149
-0.0239436	0.0783351	0.0491991
-0.0159624	0.082943	0.0496006
-0.00798121	0.0875509	0.0499455
0.	-0.0921589	0.0505194
0.00798121	-0.0875509	0.0499455
0.0159624	-0.082943	0.0496006
0.0239436	-0.0783351	0.0491992
0.0319248	-0.0737271	0.0487149
0.039906	-0.0691192	0.0484775
0.0478872	-0.0645112	0.0487104
0.0558684	-0.0599033	0.0491907
0.0638496	-0.0552953	0.0495888
0.0718308	-0.0506874	0.049932
0.0798119	-0.0460794	0.0505051
-0.0798119	-0.138238	0.0514543
-0.0718308	-0.13363	0.0526056
-0.0638496	-0.129022	0.0535791
-0.0558684	-0.124415	0.0540937
-0.0478872	-0.119807	0.0542255
-0.039906	-0.115199	0.0542277
-0.0319248	-0.110591	0.0541005
-0.0239436	-0.105983	0.0535893
-0.0159624	-0.101375	0.0526187
-0.00798121	-0.0967669	0.0514687
0.	-0.082943	0.0474377
0.00798121	-0.0783351	0.0452927
0.0159624	-0.0737271	0.0434207
0.0239436	-0.0691192	0.0417789
0.0319248	-0.0645112	0.0407162
0.039906	-0.0599033	0.0407139
0.0478872	-0.0552953	0.0417721
0.0558684	-0.0506874	0.0434111
0.0638496	-0.0460794	0.0452798
0.0718308	-0.0414715	0.0474238
0.0798119	-0.0368636	0.0499331
-0.0798119	-0.129022	0.0526076
-0.0718308	-0.124415	0.0550137
-0.0638496	-0.119807	0.0567531
-0.0558684	-0.115199	0.05769
-0.0478872	-0.110591	0.0579643
-0.039906	-0.105983	0.0576946
-0.0319248	-0.101375	0.0567619
-0.0239436	-0.0967668	0.0550256
-0.0159624	-0.0921589	0.0526206
-0.00798121	-0.087551	0.0499476
0.	-0.0737271	0.0411583
0.00798121	-0.0691192	0.0374139
0.0159624	-0.0645112	0.0341264
0.0239436	-0.0599033	0.0316542
0.0319248	-0.0552953	0.0306998
0.039906	-0.0506874	0.0316498
